cod_mpio,cod_dpto,nom_mpio,n_resguardos,pob_resguardos,n_comunidades
13188,13,CICUCO,0,0,0
13212,13,CÓRDOBA,0,0,0
13222,13,CLEMENCIA,0,0,0
13244,13,EL CARMEN DE BOLÍVAR,0,0,0
13248,13,EL GUAMO,0,0,0
13268,13,EL PEÑÓN,0,0,0
13300,13,HATILLO DE LOBA,0,0,0
13430,13,MAGANGUÉ,0,0,0
13433,13,MAHATES,0,0,1
13440,13,MARGARITA,0,0,0
13442,13,MARÍA LA BAJA,0,0,2
13458,13,MONTECRISTO,0,0,0
13468,13,SANTA CRUZ DE MOMPOX,0,0,0
13473,13,MORALES,0,0,0
13490,13,NOROSÍ,0,0,0
13549,13,PINILLOS,0,0,0
13580,13,REGIDOR,0,0,0
13600,13,RÍO VIEJO,0,0,0
13620,13,SAN CRISTÓBAL,0,0,0
13647,13,SAN ESTANISLAO,0,0,0
13650,13,SAN FERNANDO,0,0,0
13654,13,SAN JACINTO,0,0,0
13655,13,SAN JACINTO DEL CAUCA,0,0,0
13657,13,SAN JUAN NEPOMUCENO,0,0,1
13667,13,SAN MARTÍN DE LOBA,0,0,0
13670,13,SAN PABLO,0,0,0
13673,13,SANTA CATALINA,0,0,0
13683,13,SANTA ROSA,0,0,0
13688,13,SANTA ROSA DEL SUR,0,0,0
13744,13,SIMITÍ,0,0,0
13760,13,SOPLAVIENTO,0,0,0
13780,13,TALAIGUA NUEVO,0,0,0
13810,13,TIQUISIO,0,0,0
13836,13,TURBACO,0,0,0
13838,13,TURBANÁ,0,0,0
13873,13,VILLANUEVA,0,0,0
13894,13,ZAMBRANO,0,0,0
15001,15,TUNJA,0,0,0
15022,15,ALMEIDA,0,0,0
15047,15,AQUITANIA,0,0,0
15051,15,ARCABUCO,0,0,0
15087,15,BELÉN,0,0,0
15090,15,BERBEO,0,0,0
15092,15,BETÉITIVA,0,0,0
15097,15,BOAVITA,0,0,0
15104,15,BOYACÁ,0,0,0
15106,15,BRICEÑO,0,0,0
15109,15,BUENAVISTA,0,0,0
15114,15,BUSBANZÁ,0,0,0
15131,15,CALDAS,0,0,0
15135,15,CAMPOHERMOSO,0,0,0
15162,15,CERINZA,0,0,0
15172,15,CHINAVITA,0,0,0
15176,15,CHIQUINQUIRÁ,0,0,0
15180,15,CHISCAS,0,0,0
15183,15,CHITA,0,0,0
15185,15,CHITARAQUE,0,0,0
15187,15,CHIVATÁ,0,0,0
15189,15,CIÉNEGA,0,0,0
15204,15,CÓMBITA,0,0,0
15212,15,COPER,0,0,0
15215,15,CORRALES,0,0,0
15218,15,COVARACHÍA,0,0,0
15223,15,CUBARÁ,1,4828,0
15224,15,CUCAITA,0,0,0
15226,15,CUÍTIVA,0,0,0
15232,15,CHÍQUIZA,0,0,0
15236,15,CHIVOR,0,0,0
15238,15,DUITAMA,0,0,0
15244,15,EL COCUY,0,0,0
15248,15,EL ESPINO,0,0,0
15272,15,FIRAVITOBA,0,0,0
15276,15,FLORESTA,0,0,0
15293,15,GACHANTIVÁ,0,0,0
15296,15,GÁMEZA,0,0,0
15299,15,GARAGOA,0,0,0
15317,15,GUACAMAYAS,0,0,0
15322,15,GUATEQUE,0,0,0
15325,15,GUAYATÁ,0,0,0
15332,15,GÜICÁN DE LA SIERRA,1,795,0
15362,15,IZA,0,0,0
15367,15,JENESANO,0,0,0
15368,15,JERICÓ,0,0,0
15377,15,LABRANZAGRANDE,0,0,0
15380,15,LA CAPILLA,0,0,0
15401,15,LA VICTORIA,0,0,0
15403,15,LA UVITA,0,0,0
15407,15,VILLA DE LEYVA,0,0,0
15425,15,MACANAL,0,0,0
15442,15,MARIPÍ,0,0,0
15455,15,MIRAFLORES,0,0,0
15464,15,MONGUA,0,0,0
15466,15,MONGUÍ,0,0,0
15469,15,MONIQUIRÁ,0,0,0
15476,15,MOTAVITA,0,0,0
15480,15,MUZO,0,0,0
15491,15,NOBSA,0,0,0
15494,15,NUEVO COLÓN,0,0,0
15500,15,OICATÁ,0,0,0
15507,15,OTANCHE,0,0,0
15511,15,PACHAVITA,0,0,0
15514,15,PÁEZ,0,0,0
15516,15,PAIPA,0,0,0
15518,15,PAJARITO,0,0,0
15522,15,PANQUEBA,0,0,0
15531,15,PAUNA,0,0,0
15533,15,PAYA,0,0,0
15537,15,PAZ DE RÍO,0,0,0
15542,15,PESCA,0,0,0
15550,15,PISBA,0,0,0
15572,15,PUERTO BOYACÁ,0,0,1
15580,15,QUÍPAMA,0,0,0
15599,15,RAMIRIQUÍ,0,0,0
15600,15,RÁQUIRA,0,0,0
15621,15,RONDÓN,0,0,0
15632,15,SABOYÁ,0,0,0
15638,15,SÁCHICA,0,0,0
15646,15,SAMACÁ,0,0,0
15660,15,SAN EDUARDO,0,0,0
15664,15,SAN JOSÉ DE PARE,0,0,0
15667,15,SAN LUIS DE GACENO,0,0,0
15673,15,SAN MATEO,0,0,0
15676,15,SAN MIGUEL DE SEMA,0,0,0
15681,15,SAN PABLO DE BORBUR,0,0,0
15686,15,SANTANA,0,0,0
15690,15,SANTA MARÍA,0,0,0
15693,15,SANTA ROSA DE VITERBO,0,0,0
15696,15,SANTA SOFÍA,0,0,0
15720,15,SATIVANORTE,0,0,0
15723,15,SATIVASUR,0,0,0
15740,15,SIACHOQUE,0,0,0
15753,15,SOATÁ,0,0,0
15755,15,SOCOTÁ,0,0,0
15757,15,SOCHA,0,0,0
15759,15,SOGAMOSO,0,0,0
15761,15,SOMONDOCO,0,0,0
15762,15,SORA,0,0,0
15763,15,SOTAQUIRÁ,0,0,0
15764,15,SORACÁ,0,0,0
15774,15,SUSACÓN,0,0,0
15776,15,SUTAMARCHÁN,0,0,0
15778,15,SUTATENZA,0,0,0
15790,15,TASCO,0,0,0
15798,15,TENZA,0,0,0
15804,15,TIBANÁ,0,0,0
15806,15,TIBASOSA,0,0,0
15808,15,TINJACÁ,0,0,0
15810,15,TIPACOQUE,0,0,0
15814,15,TOCA,0,0,0
15816,15,TOGÜÍ,0,0,0
15820,15,TÓPAGA,0,0,0
15822,15,TOTA,0,0,0
15832,15,TUNUNGUÁ,0,0,0
15835,15,TURMEQUÉ,0,0,0
15837,15,TUTA,0,0,0
15839,15,TUTAZÁ,0,0,0
